label,sample_id
0,8271551
0,6434677
0,7938714
0,4283493
0,8793481
0,8799964
0,5884181
0,7043386
0,7075624
0,7619400
1,6066851
0,4764437
0,5982219
0,4210395
0,4029077
0,7512464
0,4844449
0,6825782
0,4823396
0,7066831
0,5944359
0,6452606
0,5356733
0,8213293
0,4757087
0,5589935
0,8397966
0,6935647
0,7886445
0,3898760
0,3901039
0,5257764
0,4643718
0,6288812
0,7396410
1,3918287
0,7245998
0,3936103
0,4487855
0,9491785
0,8408651
0,4486761
0,4839287
0,5501417
0,8263441
0,5871455
0,7332291
0,6259739
0,9003172
0,4585448
0,8295955
0,8649493
1,9298816
0,6432897
0,8003657
0,6516443
0,3873715
0,7987645
0,4657705
0,5190876
0,8183289
0,7374778
0,8669663
0,6288529
0,4645346
0,7640021
0,3962016
0,8776987
0,5190920
0,8282686
0,5855407
0,9102911
1,6330576
0,9008469
0,5507211
0,7664957
0,4244182
0,5457134
0,5392183
0,4662159
0,6861082
0,7386253
0,3888598
1,8682807
0,5839091
0,6437526
0,7686388
0,7738164
0,7996783
0,7257331
0,3900213
0,6501266
0,8604623
0,8192330
0,8387546
0,4817934
0,9117535
1,6165395
0,3863486
0,8913163
0,3939400
1,4205773
0,7362051
0,9542671
0,8783458
0,8790597
0,5828122
0,7165732
0,4794099
0,7115956
1,9369034
0,7539038
1,3920625
0,7851015
0,4258053
0,9476422
0,7308975
0,5515917
1,7481501
1,6254667
1,7210083
0,8624129
0,5338390
0,4101310
0,4200619
0,5425598
1,5901667
0,6494643
0,4394144
0,7758018
0,4045146
0,9397250
0,7992251
0,5818363
1,7323687
0,9388855
0,7640513
0,6484821
1,7455825
0,5702958
0,3710201
0,5459981
0,7478608
0,7988090
0,6017760
0,4369677
0,6810674
0,4865733
1,3796929
0,8517396
0,6706164
1,6538820
0,3919445
0,4533482
1,4556934
0,8691119
0,5343744
1,7476183
0,4965107
0,4096226
0,9158644
0,7501833
0,5585616
0,4666539
0,7179618
1,8749806
1,3757097
0,6639942
0,7482898
0,5153171
1,7762191
0,5114470
0,5520288
0,7482780
1,7605003
0,4136680
0,5547100
1,7584816
0,8262479
0,5193259
0,4478155
0,5062548
0,4008191
0,8661940
0,8146289
0,5798457
1,4468635
0,7911455
1,8290693
0,6446491
0,7235982
0,7190715
0,7899540
0,7280607
0,9162014
0,7538561
0,5816832
0,8432331
0,5278361
0,4075287
0,6073506
0,8808076
0,6437408
0,5668440
0,4651467
0,7149120
0,4078869
0,4472450
1,7725777
0,6340836
0,8795959
