label,sample_id
0,5640540
0,5533033
0,5961466
0,7391521
0,3898760
0,7630180
0,8526483
0,7075624
0,8691119
0,7074545
0,7362051
0,5115119
0,4283097
0,6437408
0,4322752
1,3796929
0,6462651
1,8217435
0,5270720
0,5786274
0,6951541
0,4096115
0,8661940
0,5028034
0,8271551
0,8827191
0,4928800
0,4244182
0,4652198
0,4533482
0,5062548
0,7758018
0,8209082
0,6010190
0,6159926
0,4601555
0,7940168
0,6099482
0,9483823
0,7513555
0,7302347
0,5423795
0,4697495
0,3940608
0,9177949
0,5319099
0,5742756
0,4175432
0,3901039
0,9243860
0,3993530
0,8944650
0,5645958
0,8423597
0,7251791
0,6013107
0,6484821
0,5025102
0,5241906
0,4933806
0,4301023
0,7492805
0,5148408
1,8192759
1,5947006
0,3942114
0,8091719
0,9095266
0,4686917
0,3863486
0,6850932
1,7482608
0,8183289
0,8231971
0,8954112
1,7330770
0,4736526
0,8962839
0,6634928
0,8629693
1,7455825
0,6091805
0,5142688
0,5923532
0,4486097
1,5581462
0,7942055
0,4400511
1,8186875
0,5715127
0,8213293
0,4435794
0,4536889
0,3945737
0,3711605
0,6060996
0,4192613
0,7136749
0,7372146
0,5801572
0,7017211
0,5421299
0,7777749
0,5052296
0,7332291
0,5668344
0,4586915
0,5659423
0,3946225
1,3874200
0,6011512
1,5935402
0,8604623
0,5205041
0,7959812
0,5898336
0,9117540
0,3856873
0,6312810
0,4764437
0,5168016
0,5158152
0,8168864
0,5220265
0,8272324
0,4662037
0,5563186
0,4404823
0,4498078
0,7659113
0,5750397
1,4536448
0,7938714
0,6629910
0,5514575
0,7482898
0,6441911
0,7934496
0,5371806
0,7199388
0,3772084
0,5000200
0,5425598
0,8049187
0,4355601
0,4197096
0,7381518
0,4647337
0,8395860
0,5589935
0,6872266
0,6181780
0,8974785
0,4285731
0,6310927
0,6364375
0,6078015
0,4489487
1,7625447
0,7726338
0,8974133
0,7880048
0,8911068
0,9322007
0,8669663
1,8279744
0,7324520
1,4857404
0,7673002
0,8000801
1,5670026
0,5812130
0,4320152
0,4508554
0,8698235
0,6213525
1,6165395
0,4502604
0,8001101
0,9248213
0,5815298
0,6847478
0,6800764
0,4612586
1,8645264
0,6518021
0,7633041
0,6860363
0,7043386
0,8491397
0,7017732
0,7777986
1,7476183
0,8760558
0,9432587
0,9272148
0,7361930
0,7658621
1,4109372
0,6913242
0,6328547
1,8516029
0,5752718
0,5520288
0,9158644
0,4716488
1,7272444
0,6612013
0,8233737
0,9251517
0,4217466
0,6088450
0,4210395
1,6890147
0,5902872
0,7195480
0,8167612
0,5088158
0,6638631
0,4728322
1,8044367
0,7135236
0,5203194
0,3860739
0,5657934
0,7590824
0,9203767
0,8217946
0,9397250
0,7942242
0,4935573
0,7249097
0,5547100
1,6257015
0,9293949
0,9241387
0,4110958
1,7322217
0,5519299
0,5153171
0,4251331
0,7785135
0,7680525
0,8588757
0,6501266
0,4556665
0,8232830
0,8049293
0,5192134
0,8952196
0,7576345
0,6516443
0,4703627
0,4794391
1,9136234
0,6016987
1,7168076
0,4771698
1,7588520
0,8845696
0,6847809
0,5884181
0,3756805
0,8653867
0,8808076
0,8896304
0,7379244
0,4530537
0,6085704
1,8169113
0,4506790
0,6850586
0,8401179
1,5775703
0,8784533
0,5712111
0,8564748
0,7165732
1,8502684
0,9141639
0,4088995
0,6239751
0,7549648
0,5016382
1,4040842
0,4368175
0,8850427
0,7757616
0,6976868
1,5388415
1,4046009
0,4839287
0,4472442
0,3879965
0,7130892
0,4069688
0,7929479
0,8284183
0,6847448
0,8751166
0,4842851
0,6935647
0,4648063
0,8416563
0,7936623
0,5222671
0,3846700
0,8410032
0,4913801
0,8202625
1,5798002
0,8738655
0,5374719
0,9313540
0,7462222
0,7513430
0,7183873
1,6255385
0,7148614
0,8761840
1,6197424
0,4304469
0,5573352
1,7240692
0,5058759
0,8059396
0,9008405
0,4846258
0,7787478
0,7538561
0,5794903
0,9539121
1,7605003
0,6706164
1,7341316
1,7481501
0,4762838
0,3804138
0,3922769
0,4491039
0,5793029
0,7748459
0,7441078
0,9003172
1,7113247
0,4969128
0,8795959
0,8934270
0,7394017
1,7276572
0,8658785
1,8169750
0,6320805
0,6857065
0,7376354
0,4757087
0,8089702
0,9096801
0,5172876
1,3723043
0,8517396
0,4639163
0,5545552
1,4234040
0,6542357
0,9162014
0,6466237
0,4310155
0,4662159
0,8314569
0,5392679
0,4955613
0,7370553
0,8295936
0,3937197
0,4977435
1,8690136
0,8902918
0,8951219
0,5575320
1,8142421
0,5657210
1,6544247
0,8584799
0,4817934
0,7480589
0,7047929
0,5985338
0,5278361
1,5339993
0,6218887
0,4633651
0,8190064
0,6244614
0,4239788
0,8919646
0,5866628
0,8917471
0,6641988
0,6458155
0,4221494
0,4034186
0,8267819
1,3977344
0,9483594
0,4429487
0,9503231
0,5474154
0,4616465
1,8333510
0,6481321
0,4979404
0,8923216
0,6434677
0,7216175
0,5839770
0,9125948
0,6009975
0,7157571
0,8792283
0,7633445
1,3918287
0,7393053
0,3862792
1,8514954
0,4240751
0,7898105
0,8283403
0,5026271
0,9537065
0,4271174
0,7161125
0,8601987
0,6276415
0,6535592
0,8672429
0,8791150
0,6012953
0,3940746
0,7258651
0,8598065
0,3819835
0,6984118
0,8907445
0,6468434
0,4713471
0,6443200
1,5946774
0,4916648
0,7634280
0,3943759
0,8214224
0,5461682
0,7369379
0,4671256
0,5863439
0,7961905
0,8986119
0,6753599
0,5457134
0,8879106
0,7561940
0,4400338
0,3862557
0,4031193
1,8427386
1,4413114
0,7594427
0,7269177
0,7386253
1,4451710
0,3922790
0,4864235
0,6940330
0,5802620
0,7961760
0,5245618
0,8564277
0,5527964
0,6452606
0,4008191
0,9006303
0,4431504
0,7294593
0,8574368
0,5576325
0,8224488
0,6084033
0,8533750
0,6982100
0,7429354
0,7003619
0,7446120
0,9221780
0,6445346
0,5668440
0,8793481
0,9476422
1,7005369
1,5773565
0,8284419
0,3978398
0,5015205
0,7512464
0,5735246
0,8435719
0,8435822
0,7807495
0,8510347
1,7391055
1,3917715
0,7308975
0,8278616
1,6717886
0,7987645
0,6325165
1,3797814
0,6635481
0,5317907
0,8937461
0,9097418
0,4051509
0,8978233
0,7798188
0,7711363
1,5627187
0,7286228
0,9139344
0,3878622
0,4443762
1,5498814
1,8633022
0,8913163
1,8460181
0,7022531
1,6261774
0,7211700
0,8311552
1,6009432
0,4272508
0,7134617
0,7659271
1,8400746
0,4841390
0,4828331
0,4200619
0,4045091
0,7594410
0,8560901
0,8024325
0,4218342
1,4611132
0,9383985
1,8539645
0,7541111
0,6514803
0,4844449
0,7792934
0,4031820
0,7006068
0,6617747
0,8963673
0,6532912
0,8958780
0,8754569
0,7619908
0,6171226
0,7229025
1,4468635
1,7247219
0,8887186
1,9095246
0,4465870
0,7245998
0,8149386
0,6195686
0,5983157
1,3920625
1,7455354
0,4187027
0,4691632
1,6183095
0,7988090
1,5991953
1,7457996
0,7568688
0,7643849
0,5305226
0,9087398
0,4078869
0,7728455
0,8780201
0,9431580
0,7795012
0,7290109
0,4541684
0,7935629
0,4747471
0,8425397
0,7886445
0,9507808
0,9004411
0,6311026
0,5738634
0,4608696
0,4278771
0,4207492
0,8026269
0,4371663
1,7762191
0,4168378
0,5223561
0,5450953
0,7997794
0,9394464
0,4369677
0,4731830
1,9369034
0,7048370
0,4243459
1,8273753
0,5948019
0,4516585
0,5097365
