label,sample_id
0,7323707
0,4900050
0,6328221
1,7769131
0,3918943
0,4612119
0,9224432
0,5497852
0,9532758
0,6310576
0,3790421
0,8971685
0,6431408
0,7454470
0,7810336
0,8967424
0,6244944
0,9122985
0,4413679
0,5671828
0,7864012
0,8271243
0,4217323
0,7907703
0,6289735
0,8514290
0,9350950
0,4112198
0,9205245
0,9481908
0,6442583
0,6009473
0,8666215
0,6666668
0,8030709
0,8939140
0,8548537
0,5470089
0,3814167
0,5845283
0,6486798
1,3942097
0,8326667
0,5487652
0,3893413
0,6290471
0,7496459
0,7056433
0,8756041
0,5542756
0,7374308
0,6785745
0,5801932
1,5310114
0,6517482
0,8579381
0,5366640
0,6850124
0,6925834
0,4413486
0,8070913
0,4106696
0,4700005
0,9218768
0,4088843
0,6234592
0,7332512
0,3920271
0,3818939
0,3699521
0,7234731
0,4866077
0,5302732
0,4301165
0,5419311
0,3983972
0,8783754
0,6986522
0,7907062
0,4298894
0,4532155
0,3749791
0,7979179
0,5841731
0,8991538
0,9523314
0,7588956
0,6623370
0,7388482
0,4932887
0,8895511
0,7496171
0,4395308
0,8049607
0,6287432
0,6016779
0,4162330
0,8333175
0,7074267
0,4236060
0,6017172
0,6899793
0,7119679
0,9004407
0,5005330
0,8928769
0,7674551
0,6212333
1,5950764
0,4197431
0,9361156
0,8956366
0,4302252
0,6431696
0,8673459
0,4435454
0,8039539
0,6182357
0,4553880
0,6471435
0,7144792
0,3897308
0,7759750
0,8424288
0,7341500
0,4388389
0,5907719
0,7231644
0,7644249
0,3739360
0,7094329
0,6875532
0,9329773
0,7071050
0,7795065
0,6939776
0,8025832
0,6863460
0,7344807
0,4392544
0,9320426
0,7746730
0,6840403
0,4055848
0,7727545
0,4671530
0,5473580
0,9160221
0,6921162
0,6847017
0,8495850
0,8765693
0,5102890
0,4312069
0,3945199
0,5702663
0,4132362
0,5176784
0,8001801
0,7962366
0,7185831
0,5534322
0,6078132
1,5250124
0,7767021
0,8914719
0,6236496
0,8024427
0,3998684
0,4212572
0,9206273
0,4357598
0,8916223
0,9012151
0,7483452
0,4627996
0,4522222
0,7141052
0,8199173
0,5497076
0,8674686
0,4265826
0,7294422
0,3738168
0,5593437
0,7525975
0,9012407
0,4417149
0,8225151
0,9331036
0,4919453
0,4404282
0,7301073
0,7356604
0,5414004
0,5876865
0,9005699
0,5712776
0,4980296
0,4486552
0,9539712
0,4354720
0,5660411
0,7699101
0,9267168
0,7110627
0,5040675
0,7085469
0,6834699
0,6630204
0,7410586
0,7094260
0,5657118
0,8615469
0,9012946
0,7426271
0,6532406
0,5972104
0,9097958
0,7934374
0,7539853
0,6201491
0,4480085
0,6177738
0,7523131
0,8999846
0,7542000
0,4468174
1,5403624
0,5979331
0,4005583
0,7356682
0,6458427
0,4214385
0,4258444
0,8898055
0,9269951
0,5863832
0,7320020
0,7221713
0,7972876
0,3701417
0,3981428
0,6445236
0,3992626
0,5809960
0,4960946
0,5492178
0,6240859
0,5417605
0,8972057
0,3919083
0,6329210
0,5525645
0,5275875
0,9111672
0,7882655
0,5842829
1,8494231
0,9248421
0,7065127
0,9249537
0,8526493
0,5907756
0,6972046
0,8747487
0,5535647
0,8048739
0,8350391
0,5490526
0,7107337
0,3975605
0,6340126
0,6915447
0,8602161
0,4095182
0,5232497
0,6909063
0,9523258
0,9192024
0,7156185
0,4487410
0,3701614
0,7725751
0,7113719
0,5361443
0,8960720
0,7716650
0,9115400
0,6957824
0,8328444
0,8186858
0,9342880
0,8574638
0,4445017
0,8967998
0,4536178
0,7513758
0,6465751
0,5596973
0,4247131
0,6624087
0,5480114
0,7580470
0,4081252
0,8574983
0,6946489
0,7001897
0,6772849
0,4322779
0,7287653
0,9224077
0,7659358
0,3701394
0,9140119
0,4467152
0,4435287
0,6816458
0,4095482
0,3993831
0,6842606
0,4426916
0,6311678
0,5206791
0,7916535
0,4688226
